ProjectAccession,InclusionReason
PXD053253,"Validating file Experiment_JMS987_S2_TH_NT_2_from_JMS987_Fusion_S2_TH_NT_2.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Experiment_JMS987_S2_TH_NT_2_from_JMS987_Fusion_S2_TH_NT_2.mzid is schema invalid."
PXD053415,"Validating file Experiment_RA912_6MAM_from_RA912_66MAM.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Experiment_RA912_6MAM_from_RA912_66MAM.mzid is schema invalid."
PXD055405,"Validating file mascot_daemon_merge__20161015_HM_Substrates_LAP_her2-18_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File mascot_daemon_merge__20161015_HM_Substrates_LAP_her2-18_.mzid is schema invalid."
PXD055411,"Validating file mascot_daemon_merge__LAP_BT474_N3_MATX_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File mascot_daemon_merge__LAP_BT474_N3_MATX_.mzid is schema invalid."
PXD055603,"Validating file mascot_daemon_merge__20161201_HM_2DE_RESISTANCE_N2_.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File mascot_daemon_merge__20161201_HM_2DE_RESISTANCE_N2_.mzid is schema invalid."
PXD028039,2026-02-05 14:53:52 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing Tryp_Xi1.7.4.mzid | Missing peak list file: 3324_AJ_Tetramer-Tryp.mgf
PXD025728,2026-02-05 14:55:09 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing RORg2_SRC3_XL-MS_Search.mzid | Missing peak list file: RORg2_SRC3_XL-MS_Search.mzML
PXD029252,2026-02-05 14:55:30 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing QExHFX3_RSLC10_DSSO_mainlib_SECall_KK_1FDR_linkandCSM_671fasta_Xi1.7.6.5.mzid | Missing peak list file: 20210203_QExHFX3_RSLC10_DSSO_mainlib_1_5HEK_SEC_fraction_11.mgf
PXD041955,2026-02-05 15:00:27 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing 20211219_Eclipse_LC4_G2_Trap_backflash_Peplib20_DSBSO_pl2_MS3_OTOTOT.mzid | Missing peak list file: 20211219_Eclipse_LC4_G2_Trap_backflash_Peplib20_DSBSO_pl2_MS3_OTOTOT.mzML
PXD042549,2026-02-05 15:00:30 - parser.process_dataset - INFO - parsing AnalysisProtocolCollection - done. Time: 0.0 sec | Error parsing QX28987AG.mzid | Missing peak list file: QX28987AG.mzML
